,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
173862,888323,2702741,Low,ED,AUTO ACCIDENT,P172060853,2400 E EAGER ST,39.301809999999996,-76.583793,2017-07-25
173881,888350,2675204,Low,NE,HIT AND RUN,P171961833,5100 BELAIR RD,39.336123,-76.554427,2017-07-15
173893,888368,2689662,Low,NE,HIT AND RUN,P172011953,1400 GORSUCH AV,39.323505,-76.598303,2017-07-20
173898,888374,2680695,Low,CD,HIT AND RUN,P171981782,1500 GUILFORD AV,39.30701,-76.612153,2017-07-17
173902,888378,2698689,Low,ED,HIT AND RUN,P172042231,1300 N KENWOOD AV,39.306374,-76.57852700000001,2017-07-23
173930,888425,2749169,Low,SE,HIT AND RUN,P172221632,1000 WILLS ST,39.281545,-76.597489,2017-08-10
173951,888476,2700681,Low,ND,AUTO ACCIDENT,P172051644,2700 N CALVERT ST,39.320864,-76.614414,2017-07-24
173961,888489,2685547,Low,SD,AUTO ACCIDENT,P172000539,100 S PACA ST,39.28745,-76.622188,2017-07-19
173969,888503,2646689,Low,ND,HIT AND RUN,P171862741,800 W 40TH ST,39.337083,-76.631175,2017-07-05
173978,888513,2738519,Low,SW,HIT AND RUN,P172182051,3400 EDMONDSON AV,39.294111,-76.674311,2017-08-06
174073,888705,2700018,Low,NE,AUTO ACCIDENT,P172050904,3800 ERDMAN AV,39.315591,-76.568771,2017-07-24
174086,888731,2651481,Low,SE,HIT AND RUN,P171881136,1000 E LOMBARD ST,39.289246999999996,-76.602261,2017-07-07
174114,888786,2637376,Low,NW,AUTO ACCIDENT,P171832271,4500 SPRINGDALE AV,39.328189,-76.694073,2017-07-02
174138,888825,2649080,Low,NW,HIT AND RUN,P171871780,3800 REISTERSTOWN RD,39.331557000000004,-76.66226400000001,2017-07-06
174152,888866,2709891,Low,SE,HIT AND RUN,P172082041,300 S SPRING CT,39.287420000000004,-76.598108,2017-07-27
174157,888871,2637635,Low,NE,HIT AND RUN,P171832529,1600 E 32ND ST,39.32679,-76.593662,2017-07-02
174168,888889,2653019,Low,CD,AUTO ACCIDENT,P171882843,2300 EUTAW PL,39.311865999999995,-76.635403,2017-07-07
174297,889050,2677751,Low,NE,HIT AND RUN,P171971526,3000 CHESTERFIELD AV,39.324363,-76.569214,2017-07-16
174423,889215,2672388,Low,SE,HIT AND RUN,P171952065,100 S BROADWAY,39.290192,-76.593874,2017-07-14
174481,889293,2640090,Low,WD,HIT AND RUN,P171842249,1300 BLK N BENTALOU ST,39.302867,-76.65369100000001,2017-07-03
174556,889404,2720224,Low,CD,AUTO ACCIDENT,P172120944,300 PARK AV,39.292936,-76.618138,2017-07-31
174637,889539,2760826,Low,SW,HIT AND RUN,P172262398,3300 W CATON AV,39.285851,-76.673169,2017-08-14
174642,889544,2791880,Low,ED,HIT AND RUN,P172371844,800 ARNOLD CT,39.30002,-76.594964,2017-08-25
174684,889604,2760534,Low,ND,AUTO ACCIDENT,P172262064,BALTIMORE POLYTECHNIC INSTITUTE,39.290442999999996,-76.61233299999999,2017-08-14
174713,889662,2810977,Low,NW,AUTO ACCIDENT,P172441543,3600 SEVEN MILE LN,39.368084,-76.70684200000001,2017-09-01
174716,889671,2819046,Low,SD,HIT AND RUN,P172471772,3700 7TH ST,39.234644,-76.601366,2017-09-04
174736,889697,2811148,Low,NE,HIT AND RUN,P172441723,4800 BOWLAND AV,39.318578,-76.551062,2017-09-01
174790,889772,2811379,Low,ND,HIT AND RUN,P172441988,3800 ELLERSLIE AV,39.335812,-76.605949,2017-09-01
174791,889773,2749469,Low,NW,AUTO ACCIDENT,P172221964,6000 GREEN MEADOW PY,39.368766,-76.673761,2017-08-10
174795,889778,2762962,Low,SE,HIT AND RUN,P172271674,3600 ROBERTS PL,39.295613,-76.56759,2017-08-15
174891,889915,2791866,Low,WD,HIT AND RUN,P172371822,1300 N BENTALOU ST,39.302867,-76.65369100000001,2017-08-25
174895,889920,2720143,Low,ND,AUTO ACCIDENT,P172120859,1500 UNION AV,39.332084,-76.640722,2017-07-31
