,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
87092,451661,2951268,Medium,SW,NARCOTICSOutside,P172952279,2700 WILKENS AV,39.27802,-76.658845,2017-10-22
113583,593338,2624140,Medium,NW,NARCOTICSOutside,P171791172,5300 BLK CORDELIA AV,39.347132,-76.68310699999999,2017-06-28
506610,2974105,2467144,Medium,NE,NARCOTICSOutside,P171261473,3500 BLK PELHAM AV,39.320932,-76.565301,2017-05-06
351459,1816517,3294782,Medium,SD,NARCOTICSOutside,P180690910,1100 W PRATT ST,39.285659,-76.635285,2018-03-10
563306,3180987,2853997,Medium,NW,NARCOTICSOutside,P172601522,4400 PARK HEIGHTS AV,39.340407,-76.66703299999999,2017-09-17
666214,3578933,3107885,Medium,NW,NARCOTICSOutside,P173581281,3600 REISTERSTOWN RD,39.329039,-76.660349,2017-12-24
455408,2093460,3427562,Medium,SD,NARCOTICSOutside,P181202318,4500 6TH ST,39.224345,-76.600109,2018-04-30
56676,250165,3067948,Medium,NW,NARCOTICSOutside,P173411934,2700 W COLD SPRING LN,39.339515999999996,-76.666646,2017-12-07
560166,3177827,2737681,Medium,WD,NARCOTICSOutside,P172181115,1900 W LAFAYETTE AV,39.298725,-76.647836,2017-08-06
301656,1693221,3223212,Medium,WD,NARCOTICSOutside,P180401074,1700 N CALHOUN ST,39.307938,-76.64349,2018-02-09
270520,1565132,3148731,Medium,WD,NARCOTICS INSIDE,P180111322,1000 N FULTON AV,39.299989000000004,-76.64590600000001,2018-01-11
560202,3177863,2768541,Medium,SW,NARCOTICSOutside,P172291400,2700 WILKENS AV,39.27802,-76.658845,2017-08-17
176861,892924,3157155,Medium,NW,NARCOTICSOutside,P180141974,5300 BLK CUTHBERT AV,39.347954,-76.682672,2018-01-14
40220,228551,2502532,Medium,WD,NARCOTICSOutside,P171383045,1700 N BENTALOU ST,39.307769,-76.653983,2017-05-18
684807,3662864,3074783,Medium,CD,NARCOTICSOutside,P173441561,1100 W NORTH AV,39.310368,-76.636163,2017-12-10
292039,1671800,3210118,Medium,NW,NARCOTICSOutside,P180342332,3800 LEWISTON AV,39.348742,-76.68490200000001,2018-02-03
