,LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,LicenseFee,CertificateNumber,LicenseStatus,LicenseeFirstName,LicenseeLastName,TradeName,CorpName,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,2010 Census Wards Precincts,2010 Census Neighborhoods,Zip Codes,longitude,latitude
20683,LA,BWL,160.0,2017-05-01,2018-04-30,2017,858.0,0789,Renewed,SUZIE,CHANG,GERA VARIETY STORE,"GERA VARIETY STORE, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",2441 REISTERSTOWN ROAD,21217,39.0,190.0,27301.0,39.316286, -76.650014
20684,LB,BWL,190.0,2017-05-01,2018-04-30,2017,1320.0,0543,Renewed,JO HONG,CHANG,CAFE ZEN,"POJO, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",438-44 BELVEDERE AVENUE EAST,21212,256.0,215.0,14009.0,39.364096, -76.610488
20686,LBD7,BWL,304.0,2017-05-01,2018-04-30,2017,1320.0,0951,Renewed,THOMAS M.,COYLE,HALF MILE TRACK,"TOM & DAN, LLC",Tavern,7 days,"Beer, Wine, & Liquor",4108 FREDERICK AVENUE,21229,290.0,122.0,27950.0,39.281705, -76.683695
20687,LA,BWL,142.0,2017-05-01,2018-04-30,2017,858.0,0767,Renewed,MATTHEW,HUGGINS JR.,LIME TREE LIQUORS,KSJB INC.,Package goods only,6 days,"Beer, Wine, & Liquor",1720 NORTHERN PARKWAY EAST,21239,259.0,64.0,28564.0,39.366427, -76.583876
20688,LBD7,BWL,366.0,2017-05-01,2018-04-30,2017,1320.0,1073,Renewed,HOWARD V.,STALEY,QUARTERHOUSE TAVERN,"HVS HOSPITALITY, LLC",Tavern,7 days,"Beer, Wine, & Liquor",801-03 DECKER AVENUE SOUTH,21224,114.0,30.0,27935.0,39.283178, -76.573461
20689,LB,BWL,273.0,2017-05-01,2018-04-30,2017,2000.0,1006,Renewed,GEORGE,TSERKIS,BAYVIEW/CAPTAIN JAMES LANDING RESTAURANT,"NESTOS CONTRACTING COMPANY, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",2116-30 ALICEANNA STREET,21231,117.0,68.0,27954.0,39.283801, -76.586714
20690,LA,BWL,89.0,2017-05-01,2018-04-30,2017,858.0,0620,Renewed,GERALD I.,LEVIN,FIBUS DRUG STORE,"FIBUS DRUG STORE, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",2101 GARRISON BOULEVARD,21216,45.0,164.0,27297.0,39.311064, -76.674737
20691,LB,BWL,292.0,2017-05-01,2018-04-30,2017,2520.0,1140,Renewed,JOHN ,BURKE,ALEXANDER'S TAVERN,"ALEXANDER'S TAVERN, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",710-12 BROADWAY SOUTH,21231,286.0,68.0,27954.0,39.283155, -76.593489
20692,LA,BWL,40.0,2017-05-01,2018-04-30,2017,858.0,0489,Renewed,MICHAEL ,LUKE ,SMITTY'S LIQUORS,"SHIN DAE GAE, INC",Package goods only,6 days,"Beer, Wine, & Liquor",1044 CHARLES STREET SOUTH,21230,175.0,67.0,27953.0,39.277005, -76.61438
20694,WA,BW,21.0,2017-05-01,2018-04-30,2017,110.0,0683,Renewed,BONG SOO,JOO,ARNOLD CARRY OUT,"JOO & PEANG CORPORATION, INC.",Package goods only,6 days,Beer & Light Wine,2719 MONUMENT STREET EAST,21205,125.0,141.0,13987.0,39.298974, -76.578829
20697,LBD7,BWL,394.0,2017-05-01,2018-04-30,2017,1320.0,1129,Renewed,MICHELE ,MAVIAS ,CANELA,"CANELA, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1801 LOMBARD STREET EAST,21231,113.0,249.0,27954.0,39.290464, -76.591495
20698,LBD7,BWL,336.0,2017-05-01,2018-04-30,2017,1320.0,1031,Renewed,SANDIP ,KOIRALA,GARDEN HUB,"KANTHA,INC",Tavern,7 days,"Beer, Wine, & Liquor",5511 BELAIR ROAD,21206,211.0,46.0,13991.0,39.339761, -76.549205
20699,LBD7,BWL,397.0,2017-05-01,2018-04-30,2017,1320.0,1134,Renewed,CARROLL,SINGLETON,BOATHOUSE CANTON,"CANTON WATERFRONT RESTAURANT, LLC",Tavern,7 days,"Beer, Wine, & Liquor",2809 BOSTON STREET,21224,115.0,30.0,27935.0,39.278268, -76.575794
20700,LC,BWL,24.0,2017-05-01,2018-04-30,2017,550.0,0938,Renewed,MILTON,BRAGER,THE CURTIS BAY ATHLETIC ASSOCATION,"CURTIS BAY ATHLETIC ASSOCIATION, INC",Non-Profits only,7 days,"Beer, Wine, & Liquor",1603 CEDDOX STREET,21226,37.0,61.0,27939.0,39.221166, -76.58777
20703,LD,BWL,29.0,2017-05-01,2018-04-30,2017,825.0,0867,Renewed,JA IN,KOO,APACHE LOUNGE,"JASOON, INC.",Tavern,6 days,"Beer, Wine, & Liquor",1644 MILTON AVENUE NORTH,21213,148.0,23.0,26956.0,39.309959, -76.58295
20704,LC,BWL,35.0,2017-05-01,2018-04-30,2017,550.0,0994,Renewed,ZANES E.,"CYPRESS, JR.","PI OMEGA CHAPTER, OMEGA PSI PHI FRAT.","PI OMEGA CHAPTER,OMEGA PSI PHI FRAT.,INC",Non-Profits only,7 days,"Beer, Wine, & Liquor",2003 PRESBURY STREET,21217,25.0,74.0,27301.0,39.307736, -76.650131
20705,LC,BWL,25.0,2017-05-01,2018-04-30,2017,550.0,0961,Renewed,LOUISEA,PETERS,MOUNT VERNON CLUB,"MOUNT VERNON CLUB OF BALTIMORE, INC.",Non-Profits only,7 days,"Beer, Wine, & Liquor",8 MT. VERNON PLACE WEST,21201,92.0,165.0,13642.0,39.297667, -76.61643
20706,LBD7,BWL,346.0,2017-05-01,2018-04-30,2017,1320.0,1050,Renewed,ROBIN,HOUGH,CHESAPEAKE SHAKESPEARE COMPANY,CHESAPEAKE SHAKESPEARE COMPANY,Tavern,7 days,"Beer, Wine, & Liquor",7 CALVERT STREET SOUTH,21202,6.0,65.0,13645.0,39.289306, -76.612269
20707,LBD7,BWL,410.0,2017-05-01,2018-04-30,2017,1320.0,1161,Renewed,JAE RAN,CHONG,RED FOX LIQUORS,"JC STAR,LLC",Tavern,7 days,"Beer, Wine, & Liquor",2733-35 PENNSYLVANIA AVENUE,21217,39.0,195.0,27301.0,39.313159, -76.646209
20708,LC,BWL,46.0,2017-05-01,2018-04-30,2017,550.0,1131,Renewed,CHARLES,BENNETT,EASTSIDE REINDEER ASSOCIATION,"EASTSIDE REINDEER ASSOCIATION, INC.",Non-Profits only,7 days,"Beer, Wine, & Liquor",1228 PRESTON STREET EAST,21202,107.0,180.0,13645.0,39.305099, -76.600891
20709,LBD7,BWL,362.0,2017-05-01,2018-04-30,2017,1320.0,1069,Renewed,LEONARD J,POPA,SOONER'S TAVERN,"CLUB 438, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1600 HAZEL STREET,21226,37.0,61.0,27939.0,39.226037, -76.588395
20710,LBD7,BWL,278.0,2017-05-01,2018-04-30,2017,1320.0,0886,Renewed,CORA ,FLYNN-WILLIAMS,IN LIKE FLYNN TAVERN,"IN LIKE FLYNN TAVERN, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1371 ANDRE STREET,21230,169.0,137.0,27953.0,39.269516, -76.590205
20711,LA,BWL,110.0,2017-05-01,2018-04-30,2017,858.0,0652,Renewed,KYONG YOL,BAIK,Y & S LIQUORS,"BAIK SOHN, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",2300-02 HARFORD ROAD,21218,198.0,63.0,27307.0,39.315867, -76.596226
20712,LB,BWL,303.0,2017-05-01,2018-04-30,2017,2500.0,1173,Renewed,JASON,SANCHEZ,FORK AND WRENCH,"SANCHEZ GRUVER RESTAURANTS, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",2322 BOSTON STREET,21224,116.0,30.0,27935.0,39.282843, -76.583934
